function,form,may,jun,jul,aug,sep,oct,nov
Joints,Tablets,7.0137974000000005,7.5914104700000005,9.29800655,9.108392947999999,8.438855,8.270841333333333,8.9922579
Immune,Tablets,3.967413,4.2891071,7.00437255,8.195336491666668,5.369605,5.737254259166667,7.85225
Stress_Sleep,Tablets,3.39616426,3.399046493333333,3.402781,3.012909291,3.359094,3.1659625416666666,7.57094792
Energy,Tablets,3.8684232599999997,3.938377,5.946487,5.627442223333333,4.866486,5.511800146666666,5.732117
Body,Tablets,4.446935,3.8923545933333332,5.31964855,5.588132614666667,5.435979,6.782021988333334,5.082982
Digest,Tablets,3.4422574,3.6728474333333336,4.859660890000001,4.872282,3.91154482,5.807177661333334,4.282349900000001
Weight_Mngm,Tablets,2.516781755,2.491630053333333,3.060835,3.169432151666667,3.663705,3.2856243025,3.84759
Beauty,Tablets,2.4685932999999998,2.07584,3.41965313,3.429976,2.519135,3.1757104933333333,2.561008
Fitness,Tablets,2.02689,2.199789,2.348564,2.460466266666667,2.161239,1.59469704,2.436381
Brain,Tablets,1.492572,1.33383,1.254542,1.418757,1.654812,1.32709996,1.687866
